logFC,logCPM,LR,PValue,FDR,chr1,start1,end1,chr2,start2,end2,interaction_type,interaction_distance,resolution,overlap_idx,interaction_idx,anchor1_overlap,anchor2_overlap,both_anchors_overlap,any_anchor_overlap,n_peaks_anchor1,n_peaks_anchor2,total_peaks
-1.50587976476069,4.4913791216864,127.929724864903,1.16288472300005e-29,1.08812436465479e-25,2L,10000000,10008000,X,22432000,22440000,trans,,1000,0,,False,False,False,False,,,
-1.69234476904483,3.89913498304419,93.4850568366579,4.09278878760744e-22,1.24623544155449e-18,2L,10008000,10016000,X,22432000,22440000,trans,,1000,1,,False,False,False,False,,,
-1.62706160325063,3.83172501764438,79.5854371049551,4.61816943229028e-19,8.21837249269422e-16,2L,10016000,10024000,X,22432000,22440000,trans,,1000,2,,False,False,False,False,,,
9.00467471129753,1.2916379104986,63.9353135176685,1.2857221921370801e-15,1.0551522764585998e-12,2L,10016000,10048000,X,15040000,15072000,trans,,1000,3,,False,False,False,False,,,
9.00467469100454,1.2916379104986,63.9350692173274,1.28588163818146e-15,1.0551522764585998e-12,2L,10016000,10048000,X,19840000,19872000,trans,,1000,4,,False,False,False,False,,,
8.20441792394537,0.548303122118158,61.3080072574994,4.88091233149866e-15,3.4239629515211197e-12,2L,10024000,10032000,X,22432000,22440000,trans,,1000,5,,False,False,False,False,,,
8.40138966429916,0.7287283386723,59.1819664499418,1.43745152110253e-14,8.810950387008869e-12,2L,10032000,10040000,X,22432000,22440000,trans,,1000,6,,False,False,False,False,,,
8.5152704994163,0.834128982363857,57.8565735260229,2.8194321895453702e-14,1.5490283289651597e-11,2L,10040000,10048000,X,22432000,22440000,trans,,1000,7,,False,False,False,False,,,
8.1410969053052,0.491347451556958,57.0499599196923,4.24880047738986e-14,2.1604974383569098e-11,2L,10048000,10056000,X,22432000,22440000,trans,,1000,8,,False,False,False,False,,,
7.99188518924735,0.35793268497292,53.9405047909515,2.06653287667139e-13,8.10147097023687e-11,2L,10048000,10080000,X,15040000,15072000,trans,,1000,9,,False,False,False,False,,,
7.99188513215754,0.35793268497292,53.9402798617854,2.06676946396662e-13,8.10147097023687e-11,2L,10048000,10080000,X,18688000,18720000,trans,,1000,10,,False,False,False,False,,,
-1.01522978569634,4.34858748461766,53.4130332923238,2.7029761107777497e-13,1.01460375088582e-10,2L,10056000,10064000,X,22432000,22440000,trans,,1000,11,,False,False,False,False,,,
8.21302182582625,0.55726341338004,52.3271560347593,4.69832268221111e-13,1.6150567087651401e-10,2L,10072000,10080000,X,22432000,22440000,trans,,1000,12,,False,False,False,False,,,
-1.67508533338643,3.32321420191341,51.9224371953083,5.77368672614733e-13,1.91293683095022e-10,2L,10080000,10088000,X,22432000,22440000,trans,,1000,13,,False,False,False,False,,,
3.48560644540944,2.82376174049139,49.4058977357935,2.08119024005348e-12,5.68448110666133e-10,2L,10080000,10112000,X,15040000,15072000,trans,,1000,14,,False,False,False,False,,,
3.51545820579704,3.28454548527776,48.8712211844591,2.7333200984440797e-12,7.24399751133597e-10,2L,1008000,1016000,X,22432000,22440000,trans,,1000,15,,False,False,False,False,,,
8.04865814975606,0.409317484382638,48.5980069656115,3.14188356693251e-12,8.09404338478389e-10,2L,10088000,10096000,X,22432000,22440000,trans,,1000,16,,False,False,False,False,,,
8.02700364327039,0.389932438512675,48.2596283143203,3.73360440359133e-12,9.31714899585203e-10,2L,10096000,10104000,X,22432000,22440000,trans,,1000,17,,False,False,False,False,,,
7.86994761588401,0.25031734935561,47.6417667696838,5.11666723004477e-12,1.2332315926486902e-09,2L,10104000,10112000,X,22432000,22440000,trans,,1000,18,,False,False,False,False,,,
7.77498272357843,0.16773972555706,47.2659678705298,6.19790165347293e-12,1.4486933372874401e-09,2L,10112000,10120000,X,22432000,22440000,trans,,1000,19,,False,False,False,False,,,
-1.05377734014628,4.03376105432223,45.9600978678626,1.2068624676735099e-11,2.56532186328154e-09,2L,10112000,10144000,X,12672000,12704000,trans,,1000,20,,False,False,False,False,,,
2.70868343333644,2.98710733813223,45.6988896603524,1.3790091897645498e-11,2.8695113714461703e-09,2L,10120000,10128000,X,22432000,22440000,trans,,1000,21,,False,False,False,False,,,
7.88941815297967,0.267725563768916,45.4623045199471,1.55604914203058e-11,3.1373914452677e-09,2L,10128000,10136000,X,22432000,22440000,trans,,1000,22,,False,False,False,False,,,
8.34927294417738,0.683524755681195,45.176355336707,1.8006603950540498e-11,3.53914566113459e-09,2L,10144000,10152000,X,22432000,22440000,trans,,1000,23,,False,False,False,False,,,
8.08367689029795,0.441916949358732,44.2872578643172,2.83555904893172e-11,5.2210426595137306e-09,2L,1016000,1024000,X,22432000,22440000,trans,,1000,24,,False,False,False,False,,,
8.06261088002414,0.422987338928586,44.018596261711,3.25270823074616e-11,5.85747732634418e-09,2L,10168000,10176000,X,22432000,22440000,trans,,1000,25,,False,False,False,False,,,
7.81252747123534,0.20038033676629,42.1056707692674,8.64720707351297e-11,1.33727771804709e-08,2L,10176000,10208000,X,15040000,15072000,trans,,1000,26,,False,False,False,False,,,
7.81252746984822,0.20038033676629,42.1056666341655,8.647225358565759e-11,1.33727771804709e-08,2L,10176000,10208000,X,15072000,15104000,trans,,1000,27,,False,False,False,False,,,
1.63858495767003,3.29451038434303,41.8030139812726,1.00947688326622e-10,1.51916712979234e-08,2L,10184000,10192000,X,22432000,22440000,trans,,1000,28,,False,False,False,False,,,
7.71206345506222,0.112619172907596,41.3033591525181,1.30344705516868e-10,1.91140410421747e-08,2L,10192000,10200000,X,22432000,22440000,trans,,1000,29,,False,False,False,False,,,
7.73665708100468,0.134014254174674,41.1090705556879,1.43966662190073e-10,2.06260734806565e-08,2L,10200000,10208000,X,22432000,22440000,trans,,1000,30,,False,False,False,False,,,
7.80980965038611,0.198315988499226,40.6062663595196,1.8620854516564501e-10,2.57691645223494e-08,2L,10208000,10216000,X,22432000,22440000,trans,,1000,31,,False,False,False,False,,,
7.80704898309404,0.196249928305103,39.2029393983353,3.81964757689102e-10,4.72421003535496e-08,2L,10208000,10240000,X,15040000,15072000,trans,,1000,32,,False,False,False,False,,,
8.28738255232242,0.628626433415208,39.2023219161096,3.82085576299899e-10,4.72421003535496e-08,2L,10208000,10240000,X,17952000,17984000,trans,,1000,33,,False,False,False,False,,,
3.65048566941801,2.54416285305971,38.931806451011,4.3887143174392004e-10,5.29109125692747e-08,2L,10216000,10224000,X,22432000,22440000,trans,,1000,34,,False,False,False,False,,,
7.78130842416487,0.173727539175892,38.5548003252778,5.32376678286188e-10,6.23760463373033e-08,2L,10224000,10232000,X,22432000,22440000,trans,,1000,35,,False,False,False,False,,,
4.48153081927483,1.69111022438227,38.3793009336385,5.82469348005946e-10,6.68775842778425e-08,2L,10232000,10240000,X,22432000,22440000,trans,,1000,36,,False,False,False,False,,,
7.67910673396348,0.0842920252550377,38.1652715001059,6.49990287065215e-10,7.28594466221688e-08,2L,10240000,10248000,X,22432000,22440000,trans,,1000,37,,False,False,False,False,,,
7.77843272824244,0.171633938134654,37.1416862233731,1.0985009042511e-09,1.13623294157782e-07,2L,10240000,10272000,X,15040000,15072000,trans,,1000,38,,False,False,False,False,,,
8.59448970920508,0.911892550812524,36.8551916024292,1.2723682572400301e-09,1.27288617535007e-07,2L,10256000,10264000,X,22432000,22440000,trans,,1000,39,,False,False,False,False,,,
7.70120007073798,0.103936709290561,36.595634861196,1.45356854329127e-09,1.42952052851276e-07,2L,10264000,10272000,X,22432000,22440000,trans,,1000,40,,False,False,False,False,,,
7.96410667861029,0.337026574475331,36.4844237772724,1.53891122401949e-09,1.49095774284217e-07,2L,10272000,10280000,X,22432000,22440000,trans,,1000,41,,False,False,False,False,,,
7.64802386685636,0.0576603260224078,36.1610426119116,1.81666139164155e-09,1.69758907218763e-07,2L,10288000,10296000,X,22432000,22440000,trans,,1000,42,,False,False,False,False,,,
7.7254468439327,0.125435920891077,35.8468093995403,2.1345730632162403e-09,1.95910987417708e-07,2L,10296000,10304000,X,22432000,22440000,trans,,1000,43,,False,False,False,False,,,
7.67341447703861,0.0798899310300002,35.7749615971349,2.2147603934509e-09,1.98282203092904e-07,2L,10304000,10312000,X,22432000,22440000,trans,,1000,44,,False,False,False,False,,,
4.77344524885666,1.36211010036184,35.1205092478629,3.0991946587539202e-09,2.60839966418709e-07,2L,10304000,10336000,X,9280000,9312000,trans,,1000,45,,False,False,False,False,,,
7.79832101570716,0.190041476149599,34.9189529914582,3.4371868490402104e-09,2.83094521880328e-07,2L,10312000,10320000,X,22432000,22440000,trans,,1000,46,,False,False,False,False,,,
7.67044406436918,0.077686101546683,34.5657502240756,4.12093608964245e-09,3.31490771947044e-07,2L,10320000,10328000,X,22432000,22440000,trans,,1000,47,,False,False,False,False,,,
3.16336624377133,3.03354608214823,34.5525974901182,4.1488754206327e-09,3.32633048010126e-07,2L,1032000,1040000,X,22432000,22440000,trans,,1000,48,,False,False,False,False,,,
7.72244036269942,0.123286847047868,34.5050265732249,4.25151984414916e-09,3.3595542509151e-07,2L,10328000,10336000,X,22432000,22440000,trans,,1000,49,,False,False,False,False,,,
7.77251537209951,0.167441517755383,34.4188836257432,4.44390739774399e-09,3.47815600746835e-07,2L,10336000,10344000,X,22432000,22440000,trans,,1000,50,,False,False,False,False,,,
7.6420616343803,0.0531956956205396,33.7353145801947,6.31439227046256e-09,4.62085567126983e-07,2L,10336000,10368000,X,10432000,10464000,trans,,1000,51,,False,False,False,False,,,
7.64206155693241,0.0531956956205396,33.7351130168887,6.3150465618542e-09,4.62085567126983e-07,2L,10336000,10368000,X,15040000,15072000,trans,,1000,52,,False,False,False,False,,,
7.6420614794855,0.0531956956205396,33.7349114549114,6.315700916830391e-09,4.62085567126983e-07,2L,10336000,10368000,X,20320000,20352000,trans,,1000,53,,False,False,False,False,,,
7.58676712326674,0.0052049944225633,33.4679567638169,7.244779383893761e-09,5.22062840564588e-07,2L,10344000,10352000,X,22432000,22440000,trans,,1000,54,,False,False,False,False,,,
7.55961479454235,-0.018265163654496,33.3837288441125,7.565428107697631e-09,5.37483997304134e-07,2L,10352000,10360000,X,22432000,22440000,trans,,1000,55,,False,False,False,False,,,
7.66739033661484,0.0754804177767842,33.3372115760535,7.74856866200867e-09,5.42404861453479e-07,2L,10360000,10368000,X,22432000,22440000,trans,,1000,56,,False,False,False,False,,,
7.81765367588258,0.208191423566038,32.6172482446962,1.12214478911769e-08,7.38767816731191e-07,2L,10368000,10400000,X,15040000,15072000,trans,,1000,57,,False,False,False,False,,,
